variant_id,model_id,description,target_mode,feature_mode,model_kind,loss,feature_count,train_rows,internal_a_rows,internal_b_rows,final_rows,internal_2025a_top1_days,internal_2025a_top1_picks,internal_2025a_top1_avg_close_return_pct,internal_2025a_top1_median_close_return_pct,internal_2025a_top1_avg_mfe_pct,internal_2025a_top1_median_mfe_pct,internal_2025a_top1_positive_close_rate,internal_2025a_top1_hit2_rate,internal_2025a_top1_hit3_rate,internal_2025a_top1_loss3_rate,internal_2025a_top3_pick_days,internal_2025a_top3_pick_picks,internal_2025a_top3_pick_avg_close_return_pct,internal_2025a_top3_pick_median_close_return_pct,internal_2025a_top3_pick_avg_mfe_pct,internal_2025a_top3_pick_median_mfe_pct,internal_2025a_top3_pick_positive_close_rate,internal_2025a_top3_pick_hit2_rate,internal_2025a_top3_pick_hit3_rate,internal_2025a_top3_pick_loss3_rate,internal_2025a_top3_any_hit2_rate,internal_2025a_top3_any_hit3_rate,internal_2025a_top3_any_positive_close_rate,internal_2025b_top1_days,internal_2025b_top1_picks,internal_2025b_top1_avg_close_return_pct,internal_2025b_top1_median_close_return_pct,internal_2025b_top1_avg_mfe_pct,internal_2025b_top1_median_mfe_pct,internal_2025b_top1_positive_close_rate,internal_2025b_top1_hit2_rate,internal_2025b_top1_hit3_rate,internal_2025b_top1_loss3_rate,internal_2025b_top3_pick_days,internal_2025b_top3_pick_picks,internal_2025b_top3_pick_avg_close_return_pct,internal_2025b_top3_pick_median_close_return_pct,internal_2025b_top3_pick_avg_mfe_pct,internal_2025b_top3_pick_median_mfe_pct,internal_2025b_top3_pick_positive_close_rate,internal_2025b_top3_pick_hit2_rate,internal_2025b_top3_pick_hit3_rate,internal_2025b_top3_pick_loss3_rate,internal_2025b_top3_any_hit2_rate,internal_2025b_top3_any_hit3_rate,internal_2025b_top3_any_positive_close_rate,internal_2025_top1_days,internal_2025_top3_pick_days,internal_2025_top1_picks,internal_2025_top3_pick_picks,internal_2025_top1_avg_close_return_pct,internal_2025_top3_pick_avg_close_return_pct,internal_2025_top1_median_close_return_pct,internal_2025_top3_pick_median_close_return_pct,internal_2025_top1_avg_mfe_pct,internal_2025_top3_pick_avg_mfe_pct,internal_2025_top1_median_mfe_pct,internal_2025_top3_pick_median_mfe_pct,internal_2025_top1_positive_close_rate,internal_2025_top3_pick_positive_close_rate,internal_2025_top1_hit2_rate,internal_2025_top3_pick_hit2_rate,internal_2025_top1_hit3_rate,internal_2025_top3_pick_hit3_rate,internal_2025_top1_loss3_rate,internal_2025_top3_pick_loss3_rate,internal_2025_top3_any_hit2_rate,internal_2025_top3_any_hit3_rate,internal_2025_top3_any_positive_close_rate,final_2026_top1_days,final_2026_top1_picks,final_2026_top1_avg_close_return_pct,final_2026_top1_median_close_return_pct,final_2026_top1_avg_mfe_pct,final_2026_top1_median_mfe_pct,final_2026_top1_positive_close_rate,final_2026_top1_hit2_rate,final_2026_top1_hit3_rate,final_2026_top1_loss3_rate,final_2026_top3_pick_days,final_2026_top3_pick_picks,final_2026_top3_pick_avg_close_return_pct,final_2026_top3_pick_median_close_return_pct,final_2026_top3_pick_avg_mfe_pct,final_2026_top3_pick_median_mfe_pct,final_2026_top3_pick_positive_close_rate,final_2026_top3_pick_hit2_rate,final_2026_top3_pick_hit3_rate,final_2026_top3_pick_loss3_rate,final_2026_top3_any_hit2_rate,final_2026_top3_any_hit3_rate,final_2026_top3_any_positive_close_rate,selector_score,selector_month_score_min,selector_month_score_median,selector_month_score_mean,selector_month_score_std,month_selector_score
blitz_005_raw_full,blitz_005_raw_full,后天最大冲高回归，全量特征,raw_mfe_reg,full,regressor,squared_error,96,539094,82788,47167,148197,37,37,5.0814,5.467,9.1815,9.751,0.6486,0.7297,0.7027,0.1892,37,111,2.1601,0.5963,6.8093,7.1695,0.5225,0.6216,0.6036,0.1982,0.9459,0.9459,0.9189,23,23,0.3107,1.2744,5.864,5.7622,0.5217,0.6522,0.6522,0.2174,23,69,0.6682,-1.5721,5.4559,4.717,0.4783,0.6232,0.5652,0.2319,0.8696,0.8696,0.7826,60,60,60,180,2.6961,1.4142,3.3707,-0.4879,7.5228,6.1326,7.7566,5.9432,0.5852,0.5004,0.6909,0.6224,0.6774,0.5844,0.2033,0.215,0.9078,0.9078,0.8508,64,64,0.0543,-0.4595,4.9732,4.9606,0.4844,0.6094,0.5781,0.2344,64,192,0.2256,-0.0914,4.7696,4.0045,0.4844,0.5938,0.5365,0.1875,0.875,0.8594,0.8125,4.6591,2.2423,3.5535,3.9469,1.5771,4.6591
blitz_006_rank_no_hot,blitz_006_rank_no_hot,后天收盘正反馈排序，不用热点,positive_close_reg,no_hot,classifier,log_loss,86,539094,82788,47167,148197,37,37,1.78,0.8043,4.3102,3.434,0.5676,0.5405,0.5135,0.0,37,111,0.574,-0.0563,3.0631,1.9224,0.4955,0.4775,0.4234,0.0541,0.7838,0.7838,0.7568,23,23,1.0792,0.7634,3.6051,3.0396,0.5217,0.5652,0.5217,0.087,23,69,0.2002,0.1063,2.8295,1.9436,0.5072,0.4783,0.4203,0.0725,0.7826,0.7391,0.8696,60,60,60,180,1.4296,0.3871,0.7838,0.025,3.9577,2.9463,3.2368,1.933,0.5447,0.5013,0.5529,0.4779,0.5176,0.4219,0.0435,0.0633,0.7832,0.7614,0.8132,64,64,0.2469,-0.8847,3.0216,0.7165,0.3906,0.4219,0.375,0.0938,64,192,-0.181,-0.65,2.5486,1.0725,0.4167,0.4375,0.3646,0.0833,0.75,0.6406,0.7188,4.0266,2.3612,2.5147,2.628,0.276,4.0266
blitz_007_rank_price_flow,blitz_007_rank_price_flow,后天收盘正反馈排序，价格资金,positive_close_reg,price_flow,classifier,log_loss,57,539094,82788,47167,148197,37,37,2.6436,1.6632,5.674,3.6741,0.6757,0.6216,0.5405,0.0,37,111,0.8966,0.4739,3.898,2.1949,0.5856,0.5135,0.4414,0.045,0.9189,0.8108,0.9459,23,23,0.2301,0.3824,3.6541,1.9436,0.5217,0.4783,0.4348,0.0435,23,69,-0.4396,-0.8197,2.6531,1.6384,0.4348,0.4058,0.3333,0.0725,0.6522,0.6087,0.7826,60,60,60,180,1.4369,0.2285,1.0228,-0.1729,4.6641,3.2755,2.8089,1.9167,0.5987,0.5102,0.55,0.4597,0.4877,0.3873,0.0217,0.0587,0.7855,0.7097,0.8642,64,64,-1.0423,-1.624,2.1513,1.6673,0.375,0.4688,0.375,0.0938,64,192,-0.2478,-0.4758,2.7843,1.7827,0.4271,0.4792,0.3958,0.0781,0.8125,0.7188,0.75,3.9365,1.7238,3.1683,2.8452,0.8163,3.9365
blitz_004_hit3_full,blitz_004_hit3_full,后天冲到 3% 概率，全量特征,hit3_prob,full,classifier,log_loss,96,539094,82788,47167,148197,37,37,1.6413,0.3448,5.6353,4.7768,0.5405,0.5946,0.5946,0.1622,37,111,1.0869,0.3448,5.4278,5.3925,0.5405,0.6306,0.6036,0.1622,0.9459,0.9459,0.8649,23,23,-0.2174,1.8209,4.5907,5.2421,0.5217,0.6522,0.6087,0.2174,23,69,1.9531,3.0758,6.8082,7.5908,0.6232,0.7536,0.6957,0.1159,1.0,1.0,0.9565,60,60,60,180,0.7119,1.52,1.0829,1.7103,5.113,6.118,5.0094,6.4916,0.5311,0.5818,0.6234,0.6921,0.6017,0.6497,0.1898,0.1391,0.9729,0.9729,0.9107,64,64,1.2079,1.0476,5.4154,5.3096,0.5469,0.6875,0.625,0.125,64,192,0.5884,0.8601,4.6984,4.7791,0.5469,0.6562,0.6094,0.1667,0.9375,0.9062,0.8906,3.8957,1.9652,2.4709,2.5263,0.4824,3.8957
blitz_003_hit2_full,blitz_003_hit2_full,后天冲到 2% 概率，全量特征,hit2_prob,full,classifier,log_loss,96,539094,82788,47167,148197,37,37,2.3648,3.7643,5.7927,6.5517,0.6486,0.6486,0.6216,0.1081,37,111,0.536,-0.0847,4.4519,3.6017,0.4775,0.6216,0.5315,0.1441,0.9189,0.9189,0.8378,23,23,1.096,2.5421,6.0926,9.1038,0.5652,0.6522,0.6522,0.2174,23,69,1.1494,1.6706,5.4562,4.6563,0.5507,0.6667,0.6232,0.1594,0.9565,0.913,0.8696,60,60,60,180,1.7304,0.8427,3.1532,0.793,5.9427,4.9541,7.8277,4.129,0.6069,0.5141,0.6504,0.6442,0.6369,0.5774,0.1628,0.1517,0.9377,0.916,0.8537,64,64,-0.7364,-1.0699,3.3027,4.1549,0.4688,0.5625,0.5312,0.1719,64,192,0.0662,-0.6835,3.5046,2.6686,0.4531,0.5469,0.4844,0.151,0.9062,0.8281,0.8438,3.7712,1.4105,2.6915,3.0468,1.5023,3.7712
blitz_002_tail_full,blitz_002_tail_full,后天收盘正反馈强化尾部，全量特征,positive_close_reg,full,classifier,log_loss,96,539094,82788,47167,148197,37,37,2.4953,0.8663,4.9151,2.6667,0.6216,0.5946,0.4595,0.0,37,111,1.4864,0.4706,3.7695,2.2071,0.5586,0.5586,0.4324,0.0541,0.9189,0.8108,0.8378,23,23,0.8984,0.6927,3.6702,3.5775,0.5652,0.5652,0.5217,0.0,23,69,1.1896,0.485,3.5678,2.2901,0.5362,0.5507,0.4348,0.029,0.913,0.7391,0.8261,60,60,60,180,1.6968,1.338,0.7795,0.4778,4.2927,3.6686,3.1221,2.2486,0.5934,0.5474,0.5799,0.5546,0.4906,0.4336,0.0,0.0416,0.916,0.775,0.8319,64,64,0.6383,0.4548,3.0477,1.7517,0.5781,0.4844,0.4375,0.0781,64,192,0.2502,0.1694,2.9238,2.095,0.5104,0.5052,0.4219,0.0885,0.7969,0.7031,0.7656,3.7244,1.9532,2.3143,2.8051,0.9609,3.7244
blitz_001_rank_full,blitz_001_rank_full,后天收盘正反馈排序，全量特征,positive_close_reg,full,classifier,log_loss,96,539094,82788,47167,148197,37,37,1.6803,1.364,4.2191,3.5897,0.6486,0.6216,0.5946,0.027,37,111,0.7423,0.4396,3.0769,2.2464,0.5315,0.5225,0.4234,0.045,0.8649,0.8378,0.8649,23,23,1.0097,1.8209,3.4943,3.0171,0.6087,0.5652,0.5217,0.087,23,69,1.4768,0.6927,3.3732,2.7692,0.5652,0.5652,0.4783,0.0435,0.8261,0.7391,0.8696,60,60,60,180,1.345,1.1096,1.5924,0.5661,3.8567,3.2251,3.3034,2.5078,0.6286,0.5484,0.5934,0.5438,0.5582,0.4508,0.057,0.0442,0.8455,0.7884,0.8673,64,64,0.2667,0.6302,2.9736,2.1728,0.5312,0.5312,0.3906,0.0625,64,192,0.61,0.3919,3.1382,2.2428,0.5365,0.5417,0.4062,0.0312,0.8281,0.7031,0.7656,3.6425,1.5306,2.4135,2.7008,1.0918,3.6425
blitz_010_rank_heat,blitz_010_rank_heat,后天收盘正反馈排序，热点特征,positive_close_reg,heat,classifier,log_loss,10,539094,82788,47167,148197,37,37,1.7552,1.1148,3.3958,2.0556,0.6216,0.5405,0.3514,0.0541,37,111,1.3684,0.4981,2.8811,1.4241,0.5676,0.4144,0.2973,0.018,0.7027,0.5405,0.8919,23,23,0.8998,1.5314,2.5011,2.3858,0.5652,0.5652,0.3043,0.0435,23,69,0.445,0.2729,1.896,1.4763,0.5217,0.4203,0.2174,0.0145,0.7391,0.4783,0.7826,60,60,60,180,1.3275,0.9067,1.3231,0.3855,2.9485,2.3885,2.2207,1.4502,0.5934,0.5447,0.5529,0.4173,0.3278,0.2574,0.0488,0.0163,0.7209,0.5094,0.8373,64,64,-0.1439,0.0643,2.3561,1.8861,0.5,0.4844,0.3125,0.0625,64,192,0.2126,-0.265,2.427,1.5389,0.474,0.4375,0.3177,0.0365,0.75,0.5469,0.7812,3.5085,1.9759,2.145,2.3574,0.4256,3.5085
blitz_011_rank_anti_overfit,blitz_011_rank_anti_overfit,后天收盘正反馈排序，低过拟合组合,positive_close_reg,anti_overfit,classifier,log_loss,56,539094,82788,47167,148197,37,37,-0.3808,0.2043,2.8158,1.7668,0.5135,0.4595,0.4324,0.1351,37,111,-0.3971,0.3918,2.7626,2.3785,0.5225,0.5135,0.4324,0.1351,0.8378,0.7568,0.8378,23,23,2.32,2.6991,6.2911,5.2421,0.6087,0.6957,0.6522,0.087,23,69,1.0248,0.5076,5.0565,4.0879,0.5362,0.6377,0.6087,0.1014,0.8696,0.8696,0.9565,60,60,60,180,0.9696,0.3138,1.4517,0.4497,4.5534,3.9095,3.5044,3.2332,0.5611,0.5293,0.5776,0.5756,0.5423,0.5206,0.111,0.1182,0.8537,0.8132,0.8972,64,64,-1.0758,-0.8303,2.4217,1.9542,0.4062,0.4844,0.4375,0.1406,64,192,-0.3019,-0.6914,2.8263,1.7359,0.4271,0.4844,0.4167,0.0938,0.7812,0.7188,0.7188,2.5659,-0.5358,3.1132,1.9821,1.7835,2.5659
blitz_009_rank_orderbook,blitz_009_rank_orderbook,后天收盘正反馈排序，盘口订单,positive_close_reg,orderbook,classifier,log_loss,26,539094,82788,47167,148197,37,37,-0.2532,0.0822,1.8317,1.8978,0.5135,0.4324,0.2703,0.0811,37,111,0.053,0.0822,2.2203,1.2422,0.5045,0.4414,0.3063,0.0631,0.7568,0.7027,0.8649,23,23,0.9622,0.4851,3.6945,1.8963,0.6087,0.4783,0.3478,0.0,23,69,1.1315,0.4851,3.3367,1.8015,0.5797,0.4493,0.3913,0.029,0.8261,0.7826,0.8696,60,60,60,180,0.3545,0.5922,0.2836,0.2836,2.7631,2.7785,1.8971,1.5219,0.5611,0.5421,0.4554,0.4454,0.309,0.3488,0.0406,0.0461,0.7914,0.7427,0.8673,64,64,-0.1648,0.3553,2.4348,2.0842,0.5312,0.5469,0.2969,0.0781,64,192,-0.0592,-0.189,2.418,1.8733,0.4896,0.4844,0.349,0.0729,0.8281,0.7188,0.8125,2.5064,0.8788,1.5989,1.5341,0.5107,2.5064
